00026+6606	5.96	7.17	1.21	15
00057+1750	8.4	8.51	0.11	7.82
00063+5826	6.42	7.32	0.9	1.53
00093+7943	6.68	6.89	0.21	0.914
00094-2759	6.13	6.24	0.11	1.34
00116+5558	7.99	8.46	0.47	1.314
00150+0849	6.06	7.51	1.45	11.462
00162+7657	7.03	7.12	0.09	0.967
00167+5439	7.68	8.78	1.1	5.869
00174+0853	7.13	7.66	0.53	3.953
00185+2608	7.79	8.44	0.65	5.12
00209+3259	7.27	8.26	0.99	1.852
00209+1059	6.73	8.55	1.82	0.81
00210+6740	8.57	8.89	0.32	1.691
00272+4959	6.96	8.92	1.96	13.224
00308+4732	8.49	8.77	0.28	0.84
00310+3406	8.83	8.91	0.08	2.801
00335-5520	7.65	8.59	0.94	0.82
00337-3500	6.64	8.46	1.82	4.394
00352+3650	6.72	8.48	1.76	11.771
00373-2446	6.6	6.2	0.4	0.875
00399+2126	5.56	8.49	2.93	6.637
00420-5547	8.03	8.96	0.93	6
00426+7122	7.8	8.05	0.25	5.482
00442+4614	7.87	8.95	1.08	1.393
00444+3337	8.33	8.89	0.56	2.273
00445-6230	6.31	8.01	1.7	2.38
00480+5127	7.24	8.06	0.82	2.4
00491+5749	3.52	7.36	3.84	13.53
00499+2743	6.33	6.34	0.01	4.276
00504+5038	8.46	8.79	0.33	0.894
00519-4343	7.45	7.95	0.5	0.832
00522-2237	7.63	8.39	0.76	1.989
00527+6852	8	8.02	0.02	3.207
00528+5638	8.58	8.89	0.31	3.915
00530-6105	8.41	8.77	0.36	5.834
00540-2503	8.8	8.94	0.14	12.894
00550+2338	6.12	6.54	0.42	1.149
00582-1541	7.77	7.86	0.09	6.473
01001+4443	6.04	6.77	0.73	7.883
01030+4723	6.76	8.07	1.31	1.3
01033-6006	7.58	7.67	0.09	5.103
01036+6104	6.06	8.62	2.56	1.303
01039-4039	7.39	8.44	1.05	1.46
01072-0144	7.43	8.56	1.13	4.325
01084-5515	4	8.23	4.23	6.76
01086-4640	7.14	8.67	1.53	1.31
01101+5145	8.14	8.59	0.45	14.503
01127+6501	7.92	8.92	1	0.914
01132+6142	6.5	8.8	2.3	1.597
01158-6853	5	7.74	2.74	4.77
01158-6853	7.84	8.44	0.6	1.21
01171-6624	6.41	8.27	1.86	2.46
01178+4901	7.19	8.79	1.6	9.95
01191+8052	7.55	8.75	1.2	0.87
01198-0031	6.45	6.99	0.54	1.591
01200-1549	7.4	7.61	0.21	2.171
01225-1905	6.54	8.65	2.11	5.18
01278-1054	6.37	8.83	2.46	1.451
01316-5322	8.36	8.84	0.48	0.826
01356+7227	7.5	7.81	0.31	0.903
01360+0739	7.5	7.63	0.13	1.706
01374-8217	7.6	8.4	0.8	5.451
01388-5327	7.15	8.49	1.34	10.31
01398-5612	5.78	5.9	0.12	11.441
01401+3858	8.28	8.61	0.33	1.672
01424-0645	8.9	8.75	0.15	0.849
01443+0929	7.87	8.01	0.14	4.945
01447-0646	6.65	8.91	2.26	2.32
01450+4342	8.56	8.78	0.22	5.224
01456-2503	5.38	8.5	3.12	4.97
01493+4754	6.47	7.22	0.75	1.971
01501+2217	6.33	7.21	0.88	2.887
01520+1049	8.22	8.2	0.02	3.042
01532+3719	7.59	8.14	0.55	3.518
01532+1526	8.75	8.97	0.22	1.086
01535+1918	4.52	4.58	0.06	7.405
01553-6019	7.18	7.23	0.05	2.89
01554+7613	7.49	8.24	0.75	3.17
01564+6116	8.31	8.35	0.04	3.623
01590-2255	7.28	7.56	0.28	8.667
02020+0246	4.1	5.17	1.07	1.781
02022+7530	6.77	8.58	1.81	1.14
02037+2556	5.82	7.87	2.05	1.31
02039+4220	2.31	5.02	2.71	9.365
02062+2507	8.35	8.71	0.36	1.933
02103+3322	8.03	8.89	0.86	11.662
02109+1341	8.28	8.9	0.62	6.029
02124+3018	5.26	6.67	1.41	3.73
02147+3024	7.82	7.9	0.08	6.527
02174+2845	7.09	7.83	0.74	13.6
02174+2353	8.32	8.6	0.28	4.769
02174-3043	8.17	8.92	0.75	2.391
02186+4017	7.26	8.03	0.77	11.013
02216+4436	7.21	8.99	1.78	2.32
02232-2952	7.6	7.97	0.37	2.015
02248-2952	8.69	8.9	0.21	1.75
